"id","parent_id","name","a_canceled","a_count","a_issued_l","a_issued_t","a_stolen","b_canceled","b_count","b_early","b_fixed","b_inside","b_invalid","b_outside","b_portable","b_stolen","b_valid","b_wtf","v_abs","v_count","vote_count_1","vote_count_2","vote_count_3","vote_count_4","vote_count_5","vote_count_6","vote_count_7"
77000600780000,77000600000000,"район Южное Тушино",409,1614,1205,56,0,24243,56100,0,31038,31088,655,769,769,0,31152,0,1016,64250,5763,4141,529,8202,3870,8313,334
77000701130000,77000700000000,"район Бирюлево Восточное",59,2011,1952,489,0,20666,76850,0,54409,54768,861,1416,1414,0,54962,0,1011,84664,5673,5352,643,9636,2703,30571,384
77000701140000,77000700000000,"район Бирюлево Западное",260,1055,795,193,0,17747,47800,0,29291,29425,572,628,626,0,29345,0,786,51437,3132,3169,390,5362,929,16164,199
77000701150000,77000700000000,"район Братеево",411,1450,1039,289,0,9906,51650,0,40792,41155,705,589,588,0,40675,0,750,62781,3935,3815,455,5914,1571,24707,278
77000701190000,77000700000000,"район Зябликово",1160,2402,1242,428,0,8129,57140,0,48111,48193,768,818,818,0,48161,0,917,77039,5808,4610,645,8767,3006,24931,394
77000701200000,77000700000000,"район Москворечье-Сабурово",226,1056,830,294,0,14223,42500,0,27459,27606,454,671,671,0,27676,0,867,46570,3820,3210,402,6132,2373,11492,247
77000701240000,77000700000000,"район Орехово-Борисово Северное",471,1770,1299,326,0,4231,53680,0,48485,48560,720,889,889,0,48654,0,952,74926,5735,4191,541,8733,3210,25868,376
77000701250000,77000700000000,"район Орехово-Борисово Южное",382,2075,1693,550,0,11520,73300,0,58525,59190,935,2590,2590,0,60180,0,1273,88670,5350,5344,758,10785,2635,34776,532
77000701280000,77000700000000,"район Царицыно",290,1801,1511,286,0,19195,68530,0,47660,48147,644,1188,1188,0,48204,0,1222,75554,5681,4570,587,8300,2550,26108,408
77000701300000,77000700000000,"район Чертаново Центральное",255,1380,1125,252,0,13566,60082,0,45076,45344,831,1172,1172,0,45417,0,967,68073,5167,3919,619,7520,2640,25214,338
77000701310000,77000700000000,"район Чертаново Южное",57,2030,1973,616,0,19893,81200,0,59044,59411,950,1896,1895,0,59989,0,1172,89199,5292,5672,735,10890,2374,34453,573
77000800180000,77000800000000,"район Дорогомилово",205,815,610,13,0,5776,31560,0,24238,24965,534,819,817,0,24521,0,1019,39331,3270,1853,252,5394,3687,9847,218
77000800540000,77000800000000,"Алексеевский район",257,1150,893,97,0,9219,33900,0,23658,23828,492,853,852,0,24018,0,1156,43009,3724,2493,352,6100,4398,6701,250
77000800580000,77000800000000,"Бутырский район",190,995,805,31,0,8056,30300,0,21378,21455,408,789,789,0,21759,0,639,39072,3353,2489,365,5016,3066,7247,223
77000800610000,77000800000000,"район Марфино",121,532,411,60,0,4660,16100,0,10942,11029,195,411,411,0,11158,0,481,19253,1659,1337,181,2413,1396,4067,105
77000800620000,77000800000000,"район Марьина Роща",250,970,720,64,0,13082,32600,0,18705,18800,377,718,716,0,19044,0,807,37015,3220,2135,310,4829,3093,5242,215
77000800630000,77000800000000,"Останкинский район",134,940,806,48,0,9683,31400,0,21117,21225,380,492,491,0,21228,0,1786,37189,3377,2061,367,5389,3778,6038,218
77000800650000,77000800000000,"район Ростокино",104,549,445,49,0,5581,18200,0,11886,11924,210,695,694,0,12370,0,542,23414,2032,1594,247,3100,1803,3448,146
77000800790000,77000800000000,"район Арбат",212,1487,1267,8,8,2533,12070,0,9274,9291,80,246,244,0,9438,0,556,15386,1272,665,93,1158,171,6012,67
77000800800000,77000800000000,"Басманный район",698,2070,1372,44,0,11933,51500,0,37992,38240,484,1327,1327,0,38835,0,1856,64783,3812,3317,288,7598,1036,22588,196
77000800810000,77000800000000,"район Замоскворечье",709,1219,510,21,0,5213,25650,0,19695,19956,285,481,481,0,19891,0,1153,30320,1669,1248,179,3580,1805,11274,136
77000800820000,77000800000000,"Красносельский район",272,740,468,10,0,6463,23900,0,16724,16733,214,704,704,0,17214,0,1291,26075,1503,1305,166,3583,708,9797,152
77000800830000,77000800000000,"Мещанский район",192,840,648,17,0,6242,31200,0,24176,24373,345,585,584,0,24415,0,751,36963,2734,1598,174,5466,1208,13102,133
77000800840000,77000800000000,"Пресненский район",398,2335,1937,125,0,21562,75900,0,52282,52695,866,1643,1643,0,53059,0,1563,79235,6069,3177,499,8988,4632,29330,364
77000800850000,77000800000000,"Таганский район",423,1790,1367,113,0,20082,65650,0,42830,43371,779,2197,2196,0,44247,0,1149,77904,6334,3069,425,10374,2723,21058,264
77000800860000,77000800000000,"Тверской район",231,1075,844,15,0,6611,42850,0,34332,34845,470,1394,1394,0,35256,0,1586,51677,3394,2536,327,7307,3442,18013,237
77000800870000,77000800000000,"район Хамовники",262,1866,1604,33,0,9069,47766,0,36866,37257,737,1440,1440,0,37569,0,1136,59876,4641,2943,502,7889,4584,16662,348
77000800880000,77000800000000,"район Якиманка",130,380,250,9,0,2762,13300,0,9262,9268,82,1270,1269,0,10449,0,561,15999,1176,727,87,1955,779,5676,49
77000901030000,77000900000000,"район Зюзино",213,1400,1187,70,0,21492,64810,0,41272,41615,671,1703,1703,0,42304,0,1287,73360,6156,4231,584,8237,4504,18235,357
77000901040000,77000900000000,"район Коньково",375,2115,1740,84,0,30315,89100,0,56091,56432,884,2353,2353,0,57560,0,1350,100046,9075,5008,748,13110,7621,21521,477
77000901060000,77000900000000,"Ломоносовский район",195,1091,896,29,0,18203,47000,0,27564,27693,646,1104,1104,0,28022,0,778,52058,4773,2381,485,7338,5306,7455,284
77000901070000,77000900000000,"Обручевский район",254,1050,796,77,0,5974,34300,0,27298,27394,409,932,929,0,27818,0,1108,45745,3352,2487,336,5571,3262,12547,263
77000901080000,77000900000000,"район Северное Бутово",240,1325,1085,83,0,16184,52100,0,35074,35121,1239,795,795,0,34630,0,654,57755,3651,3440,531,5664,2403,18695,246
