106,Пройдаков Андрей Юрьевич,7726,3,ab0040
107,Федосов Владислав Владимирович,7726,4,5e83ea
108,Щитов Кирилл Владимирович,7726,5,e97300
109,Гоголев Виктор Александрович,7727,1,e80000
110,Добровольский Алексей Юрьевич,7727,2,00a100
111,Орлов Степан Владимирович,7727,3,cc8d00
112,Щербакова Ольга Александровна,7727,4,5600d8
113,Антонцев Михаил Иванович,7728,1,ab0040
114,Жармуханов Николай Люкманович,7728,2,5e83ea
115,Каров Кирилл Николаевич,7728,3,e97300
116,Куимов Владимир Михайлович,7728,4,e80000
117,Мирошина Марина Геннадьевна,7728,5,00a100
118,Яблоков Алексей Владимирович,7728,6,cc8d00
119,Гендин Геннадий Васильевич,7729,1,5600d8
120,Медведев Александр Константинович,7729,2,ab0041
121,Минько Нина Григорьевна,7729,3,6e83ea
122,Петров Иван Евгеньевич,7729,4,e97301
123,Пороховниченко Юрий Иванович,7729,5,e80001
124,Сонкин Виктор Николаевич,7729,6,00a101
125,Анашкин Юрий Александрович,7703,1,cc8d01
126,Арзуманян Альберт Аргиналович,7703,2,5600d9
127,Белов Даниил Романович,7703,3,ab0042
128,Демидко Владимир Александрович,7703,4,7e83ea
129,Сараев Дмитрий Михайлович,7703,5,e97302
130,Скобинов Валерий Петрович,7703,6,e80002
131,Давыдов Денис Владимирович,7730,1,00a102
132,Елисеев Сергей Геннадиевич,7730,2,cc8d02
133,Мишин Алексей Валентинович,7730,3,5600d10
134,Новиков Дмитрий Владимирович,7730,4,ab0043
135,Поняхина Марина Анатольевна,7730,5,8e83ea
136,Репкина Елена Владимировна,7730,6,e97303
137,Анохин Сергей Владимирович,7731,1,e80003
138,Грязнова Варвара Леонидовна,7731,2,00a103
139,Зверев Сергей Иванович,7731,3,cc8d03
140,Курафеев Александр Юрьевич,7731,4,5600d11
141,Новикова Анна Сергеевна,7731,5,ab0044
142,Сухов Олег Владимирович,7731,6,9e83ea
143,Гончаров Кирилл Алексеевич,7732,1,e97304
144,Дьячков Роман Михайлович,7732,2,e80004
145,Журавский Сергей Владимирович,7732,3,00a104
146,Ломакина Татьяна Евгеньевна,7732,4,cc8d04
147,Почукаев Анатолий Юрьевич,7732,5,5600d12
148,Чернышов Борис Александрович,7732,6,ab0045
149,Шинкаренко Татьяна Андреевна,7732,7,10e83ea
150,Греков Платон Евгеньевич,7733,1,e97305
151,Гусева Людмила Ивановна,7733,2,e80005
152,Макаров Вячеслав Геннадьевич,7733,3,00a105
153,Попов Александр Викторович,7733,4,cc8d05
154,Тарасов Антон Александрович,7733,5,5600d13
155,Животов Геннадий Васильевич,7734,1,ab0046
156,Кочетков Владимир Валерьевич,7734,2,11e83ea
157,Огородников Георгий Борисович,7734,3,e97306
158,Семенников Александр Григорьевич,7734,4,e80006
159,Юриков Антон Вадимович,7734,5,00a106
160,Анохина Ольга Ярославовна,7735,1,cc8d06
161,Борщев Валерий Васильевич,7735,2,5600d14
162,Васильев Сергей Иванович,7735,3,ab0047
163,Лайшев Ренат Алексеевич,7735,4,12e83ea
164,Паращенко Сергей Николаевич,7735,5,e97307
165,Устинов Арсений Григорьевич,7735,6,e80007
166,Волков Николай Юрьевич,7736,1,00a107
167,Гринченко Владимир Владимирович,7736,2,cc8d07
168,Росс Сергей Геннадьевич,7736,3,5600d15
169,Семенов Григорий Викторович,7736,4,ab0048
170,Шарапова Ольга Викторовна,7736,5,13e83ea
171,Вышегородцев Михаил Михайлович,7737,1,e97308
172,Губенко Николай Николаевич,7737,2,e80008
173,Мишин Геннадий Александрович,7737,3,00a108
174,Рамазанов Сираждин Омарович,7737,4,cc8d08
175,Рублева Юлия Владимировна,7737,5,5600d16
176,Русакова Елена Леонидовна,7737,6,ab0049
177,Сильнов Алексей Сергеевич,7737,7,14e83ea
178,Балакин Михаил Дмитриевич,7738,1,e97309
179,Сагенбаев Игорь Александрович,7738,2,e80009
180,Токаев Борис Владимирович,7738,3,00a109
181,Хандриков Илья Николаевич,7738,4,cc8d09
182,Шелудько Александр Леонидович,7738,5,5600d17
183,Ширяев Денис Александрович,7738,6,ab0050
184,Лябихов Роман Михайлович,7739,1,15e83ea
185,Московченко Николай Михайлович,7739,2,e97310
186,Ноздрин Александр Дмитриевич,7739,3,e80010
187,Палеев Антон Рафаэльевич,7739,4,00a110
188,Сиднев Виктор Владимирович,7739,5,cc8d10
189,Сысоев Дмитрий Ростиславович,7739,6,5600d18
190,Алырин Святослав Игоревич,7704,1,ab0051
191,Герасимов Евгений Владимирович,7704,2,16e83ea
192,Копкина Ирина Николаевна,7704,3,e97311
193,Махмудов Рустам Хамидович,7704,4,e80011
194,Павленко Ирина Алексеевна,7704,5,00a111
195,Милявский Александр Борисович,7740,1,cc8d11
196,Павленков Юрий Викторович,7740,2,5600d19
197,Радаева Ольга Вячеславовна,7740,3,ab0052
198,Раменский Павел Олегович,7740,4,17e83ea
199,Святошенко Владимир Алексеевич,7740,5,e97312
200,Александрова Мария Александровна,7741,1,e80012
201,Захаркин Руслан Игоревич,7741,2,00a112
202,Казенков Олег Юрьевич,7741,3,cc8d12
203,Лемперт Петр Иванович,7741,4,5600d20
204,Поселёнов Павел Александрович,7741,5,ab0053
205,Тупикин Дмитрий Васильевич,7741,6,18e83ea
206,Батышева Татьяна Тимофеевна,7742,1,e97313
207,Логинов Алексей Михайлович,7742,2,e80013
208,Меньшиков Михаил Васильевич,7742,3,00a113
209,Новиков Юрий Михайлович,7742,4,cc8d13
210,Чуев Александр Викторович,7742,5,5600d21
211,Денисенко Татьяна Ивановна,7743,1,ab0054
212,Иваненко Сергей Викторович,7743,2,19e83ea
213,Иксанова Арина Тахировна,7743,3,e97314
214,Кравченко Юрий Александрович,7743,4,e80014
215,Шастина Вера Ростиславовна,7743,5,00a114
216,Ярмольник Леонид Исаакович,7743,6,cc8d14
217,Гнездилов Александр Валентинович,7744,1,5600d22
218,Пономарёв Константин Алексеевич,7744,2,ab0055
219,Свиридов Илья Тимурович,7744,3,20e83ea
220,Шувалова Елена Анатольевна,7744,4,e97315
221,Бабич Барбара Адамовна,7745,1,e80015
222,Кавказский Николай Юрьевич,7745,2,00a115
223,Комендантов Антон Андреевич,7745,3,cc8d15
224,Кузьминов Ярослав Иванович,7745,4,5600d23
225,Симонян Кристина Владиславовна,7745,5,ab0056
226,Умников Антон Геннадьевич,7745,6,21e83ea
227,Фомичева Елена Алексеевна,7745,7,e97316
228,Бабурин Сергей Николаевич,7705,1,e80016
229,Золочевский Виталий Сергеевич,7705,2,00a116
230,Кац Максим Евгеньевич,7705,3,cc8d16
231,Морозова Елена Сергеевна,7705,4,5600d24
232,Сорока Олег Иосифович,7705,5,ab0057
233,Бабкина Надежда Георгиевна,7706,1,22e83ea
234,Барынина Надежда Сергеевна,7706,2,e97317
235,Григоров Сергей Геннадьевич,7706,3,e80017
236,Елисеев Борис Петрович,7706,4,00a117
237,Лопарева Тамара Михайловна,7706,5,cc8d17
238,Дуняшев Александр Олегович,7707,1,5600d25
239,Звягинцев Петр Семенович,7707,2,ab0058
240,Молочко Александр Михайлович,7707,3,23e83ea
241,Перфилова Надежда Рафаиловна,7707,4,e97318
242,Потапова Светлана Витальевна,7707,5,e80018
243,Самошин Владимир Сергеевич,7707,6,00a118
244,Хомяков Владимир Константинович,7707,7,cc8d18
245,Беляев Олег Алексеевич,7708,1,5600d26
246,Зюганов Леонид Андреевич,7708,2,ab0059
247,Морозов Антон Александрович,7708,3,24e83ea
248,Николаев Игорь Алексеевич,7708,4,e97319
249,Фатеева Татьяна Евгеньевна,7708,5,e80019
250,Юнусова Лилия Равиловна,7708,6,00a119
251,Галенкина Майя Александровна,7709,1,cc8d19
252,Галямина Юлия Евгеньевна,7709,2,5600d27
253,Гусенков Алексей Иванович,7709,3,ab0060
254,Ильичева Ирина Викторовна,7709,4,25e83ea
255,Кузнецова Ольга Михайловна,7709,5,e97320
256,Пономарёв Виталий Константинович,7709,6,e80020
257,Попова Алена Владимировна,7709,7,00a120
258,Сидоров Сергей Алексеевич,7709,8,cc8d20
