id,parent_id,name,v_count,b_count,b_inside,b_early,b_outside,b_canceled,b_portable,b_fixed,b_invalid,b_valid,b_stolen,b_wtf,vote_count_1,vote_count_2,vote_count_3,vote_count_4,vote_count_5,vote_count_6,vote_count_7,vote_count_8
770145272572,7701,район Силино,29591,21850,7108,210,595,14147,595,7304,273,7626,0,0,1031,374,580,893,1393,3355,,
770145272580,7701,район Крюково,66882,48000,13944,223,958,33098,958,14149,544,14563,0,0,1969,619,1315,1585,2044,7031,,
770145272576,7701,район Старое Крюково,22116,15850,5289,125,647,9914,647,5408,186,5869,0,0,685,293,427,775,941,2748,,
770145272562,7701,район Матушкино,29638,21350,6830,207,679,13841,679,7033,280,7432,0,0,1059,363,559,1023,1070,3358,,
770145272568,7701,район Савелки,23293,14600,5580,166,637,8383,637,5739,195,6181,0,0,1031,346,459,831,956,2558,,
770245277584,7702,Молжаниновский район,2806,1993,395,7,130,1468,130,402,16,516,0,0,29,22,65,27,59,314,,
770245283555,7702,район Куркино,16717,11950,3250,32,129,8571,129,3256,50,3335,0,0,96,136,509,205,449,1940,,
770245283573,7702,район Северное Тушино,90975,65952,15997,235,1108,48847,1108,16187,668,16627,0,0,696,993,2844,1997,3710,6387,,
770245283593,7702,район Южное Тушино,64526,51000,11823,112,705,38472,705,11897,455,12147,0,0,445,700,2026,1170,3386,4420,,
770345283559,7703,район Митино,112221,80300,20290,451,973,59037,972,20665,607,21030,0,0,3626,975,877,1456,2834,11262,,
770345283569,7703,район Покровское-Стрешнево,33837,24201,6432,101,446,17323,446,6525,230,6741,0,0,902,454,349,184,918,3934,,
770345283587,7703,район Щукино,30702,21930,5724,106,296,15910,296,5814,208,5902,0,0,962,720,293,285,1109,2533,,
770445268560,7704,район Крылатское,53043,39200,10975,260,475,27750,475,11221,300,11396,0,0,437,5671,2388,1864,1036,,,
770445268562,7704,район Кунцево,31426,21500,6211,126,392,14897,391,6323,318,6396,0,0,269,3948,1045,504,630,,,
770445283577,7704,район Строгино,88992,61200,18294,203,666,42240,666,18355,497,18524,0,0,584,9764,5395,1345,1436,,,
770545268595,7705,район Филевский парк,47433,31800,8877,263,591,22335,591,9117,319,9389,0,3,2593,518,1972,1107,3199,,,
770545283582,7705,район Хорошево-Мневники,96491,70590,18416,255,818,51356,818,18649,677,18790,0,0,4800,1394,4595,2202,5799,,,
